Gene ID,Gene symbol,Description,Scientific name,Common name,RefSeq Transcript accessions,RefSeq Protein accessions,SPARCLE ID,Curation Status,RefseqSelect,Default sequence
101953406,DAG1,dystroglycan 1,Chrysemys picta,Painted turtle,XM_005313755.3,XP_005313812.1,,model,,default-seq
101967102,Dag1,dystroglycan 1,Ictidomys tridecemlineatus,thirteen-lined ground squirrel,XM_005326921.2,XP_005326978.1,,model,,default-seq
101984436,Dag1,dystroglycan 1,Microtus ochrogaster,prairie vole,XM_005347891.2,XP_005347948.1,,model,,default-seq
102014285,Dag1,dystroglycan 1,Chinchilla lanigera,long-tailed chinchilla,XM_005410205.2,XP_005410262.1,,model,,default-seq
102041911,DAG1,dystroglycan 1,Geospiza fortis,medium ground-finch,XM_031058222.1,XP_030914082.1,,model,,default-seq
102055456,DAG1,dystroglycan 1,Falco cherrug,Saker falcon,XM_055707521.1,XP_055563496.1,,model,,default-seq
102075173,DAG1,dystroglycan 1,Zonotrichia albicollis,white-throated sparrow,XM_005485538.3,XP_005485595.1,,model,,default-seq
102086860,DAG1,dystroglycan 1,Columba livia,rock pigeon,XM_013369173.2,XP_013224627.1,,model,,default-seq
102100530,DAG1,dystroglycan 1,Pseudopodoces humilis,Tibetan ground-tit,XM_005522200.2,XP_005522257.1,,model,,default-seq
102146250,DAG1,dystroglycan 1,Macaca fascicularis,crab-eating macaque,XM_005547119.3,XP_005547176.1,,model,,default-seq
102178403,DAG1,dystroglycan 1,Capra hircus,goat,XM_018066667.1,XP_017922156.1,,model,,default-seq
102197126,dag1,dystroglycan 1,Pundamilia nyererei,,XM_005740877.1,XP_005740934.1,,model,,default-seq
102220562,dag1,dystroglycan 1,Xiphophorus maculatus,southern platyfish,XM_023324899.1,XP_023180667.1,,model,,default-seq
102246007,DAG1,dystroglycan 1,Myotis brandtii,Brandt's bat,XM_014538958.1,XP_014394444.1,,model,,default-seq
102277285,DAG1,dystroglycan 1,Bos mutus,wild yak,XM_014477091.1,XP_014332577.1,,model,,default-seq
102294576,dag1,dystroglycan 1,Haplochromis burtoni,Burton's mouthbrooder,XM_005928943.3,XP_005929005.1,,model,,default-seq
102363437,DAG1,dystroglycan 1,Latimeria chalumnae,coelacanth,XM_005986996.2,XP_005987058.1,,model,,default-seq
102374895,DAG1,dystroglycan 1,Alligator sinensis,Chinese alligator,XM_006024997.3,XP_006025059.1,,model,,default-seq
102404079,DAG1,dystroglycan 1,Bubalus bubalis,water buffalo,XM_006053262.4,XP_006053324.4,,model,,default-seq
102439306,DAG1,dystroglycan 1,Myotis lucifugus,little brown bat,XM_006107071.2,XP_006107133.1,,model,,default-seq
102450703,DAG1,dystroglycan 1,Pelodiscus sinensis,Chinese soft-shelled turtle,XM_014572333.2,XP_014427819.1,,model,,default-seq
102484090,DAG1,dystroglycan 1,Tupaia chinensis,Chinese tree shrew,XM_027769308.1,XP_027625109.1,,model,,default-seq
102506080,DAG1,dystroglycan 1,Camelus ferus,Wild Bactrian camel,XM_032458505.1,XP_032314396.1,,model,,default-seq
102536021,DAG1,dystroglycan 1,Vicugna pacos,alpaca,XM_006196306.3,XP_006196368.1,,model,,default-seq
102560402,DAG1,dystroglycan 1,Alligator mississippiensis,American alligator,XM_014597974.2,XP_014453460.1,,model,,default-seq
102684992,dag1,dystroglycan 1,Lepisosteus oculatus,spotted gar,XM_006630992.2,XP_006631055.1,,model,,default-seq
102750272,DAG1,dystroglycan 1,Leptonychotes weddellii,Weddell seal,XM_006744535.2,XP_006744598.1,,model,,default-seq
102768170,DAG1,dystroglycan 1,Myotis davidii,,XM_006770595.2,XP_006770658.1,,model,,default-seq
102787690,LOC102787690,dystroglycan 1,Neolamprologus brichardi,,XM_035912550.1,XP_035768443.1,,model,,default-seq
102818845,DAG1,dystroglycan 1,Chrysochloris asiatica,Cape golden mole,XM_006873600.1,XP_006873662.1,,model,,default-seq
102877415,DAG1,dystroglycan 1,Elephantulus edwardii,Cape elephant shrew,XM_006892904.1,XP_006892966.1,,model,,default-seq
102892833,DAG1,dystroglycan 1,Pteropus alecto,black flying fox,XM_006909098.3,XP_006909160.1,,model,,default-seq
102922682,Dag1,dystroglycan 1,Peromyscus maniculatus bairdii,prairie deer mouse,XM_006978328.3,XP_006978390.1,,model,,default-seq
102934505,DAG1,dystroglycan 1,Chelonia mydas,Green sea turtle,XM_037904101.2,XP_037760029.1,,model,,default-seq
102953904,DAG1,dystroglycan 1,Panthera tigris,tiger,XM_042978950.1,XP_042834884.1,,model,,default-seq
102980567,DAG1,dystroglycan 1,Physeter catodon,sperm whale,XM_007129852.4,XP_007129914.1,,model,,default-seq
103018341,DAG1,dystroglycan 1,Balaenoptera acutorostrata,minke whale,XM_057554889.1,XP_057410872.1,,model,,default-seq
103023672,dag1,dystroglycan 1,Astyanax mexicanus,Mexican tetra,XM_022682216.2,XP_022537937.2,,model,,default-seq
103063333,DAG1,dystroglycan 1,Python bivittatus,Burmese python,XM_007428407.3,XP_007428469.1,,model,,default-seq
103077123,DAG1,dystroglycan 1,Lipotes vexillifer,Yangtze River dolphin,XM_007446207.1,XP_007446269.1,,model,,default-seq
103117236,DAG1,dystroglycan 1,Erinaceus europaeus,western European hedgehog,XM_007527252.2,XP_007527314.1,,model,,default-seq
103176713,dag1,dystroglycan 1,Callorhinchus milii,elephant shark,XM_007890427.2,XP_007888618.2,,model,,default-seq
103209473,DAG1,dystroglycan 1,Orycteropus afer afer,,XM_007955345.2,XP_007953536.1,,model,,default-seq
103227635,DAG1,dystroglycan 1,Chlorocebus sabaeus,green monkey,XM_007984227.2,XP_007982418.2,,model,,default-seq
103265508,DAG1,dystroglycan 1,Carlito syrichta,Philippine tarsier,XM_008063166.1,XP_008061357.1,,model,,default-seq
103298814,DAG1,dystroglycan 1,Eptesicus fuscus,big brown bat,XM_054729538.1,XP_054585513.1,,model,,default-seq
103386487,dag1,dystroglycan 1,Cynoglossus semilaevis,tongue sole,XM_008320779.3,XP_008319001.1,,model,,default-seq
103464259,dag1,dystroglycan 1,Poecilia reticulata,guppy,XM_008408248.2,XP_008406470.1,,model,,default-seq
103533123,DAG1,dystroglycan 1,Calypte anna,Anna's hummingbird,XM_030458342.1,XP_030314202.1,,model,,default-seq
103553414,DAG1,dystroglycan 1,Equus przewalskii,Przewalski's horse,XM_008523979.1,XP_008522201.1,,model,,default-seq
103589551,DAG1,dystroglycan 1,Galeopterus variegatus,Sunda flying lemur,XM_008571560.1,XP_008569782.1,,model,,default-seq
103614245,DAG1,dystroglycan 1,Corvus brachyrhynchos,American crow,XM_017732331.1,XP_017587820.1,,model,,default-seq
103674820,DAG1,dystroglycan 1,Ursus maritimus,polar bear,XM_008703783.2,XP_008702005.2,,model,,default-seq
103750183,Dag1,dystroglycan 1,Nannospalax galili,Upper Galilee mountains blind mole rat,XM_008853178.3,XP_008851400.1,,model,,default-seq
103757366,DAG1,dystroglycan 1,Manacus vitellinus,golden-collared manakin,XM_029958363.1,XP_029814223.1,,model,,default-seq
103779896,DAG1,dystroglycan 1,Merops nubicus,carmine bee-eater,XM_008947540.1,XP_008945788.1,,model,,default-seq
103802037,DAG1,dystroglycan 1,Acanthisitta chloris,rifleman,XM_009074477.1,XP_009072725.1,,model,,default-seq
103816954,DAG1,dystroglycan 1,Serinus canaria,Common canary,XM_009090996.4,XP_009089244.1,,model,,default-seq
103900458,DAG1,dystroglycan 1,Aptenodytes forsteri,emperor penguin,XM_009281147.2,XP_009279422.1,,model,,default-seq
103912674,DAG1,dystroglycan 1,Pygoscelis adeliae,Adelie penguin,XM_009319033.1,XP_009317308.1,,model,,default-seq
104022927,DAG1,dystroglycan 1,Nipponia nippon,crested ibis,XM_009476696.1,XP_009474971.1,,model,,default-seq
104031456,DAG1,dystroglycan 1,Pelecanus crispus,Dalmatian pelican,XM_009483458.1,XP_009481733.1,,model,,default-seq
104043936,DAG1,dystroglycan 1,Phalacrocorax carbo,great cormorant,XM_009503673.1,XP_009501968.1,,model,,default-seq
104059042,DAG1,dystroglycan 1,Cuculus canorus,common cuckoo,XM_054076452.1,XP_053932427.1,,model,,default-seq
104083154,DAG1,dystroglycan 1,Fulmarus glacialis,Northern fulmar,XM_009586551.1,XP_009584846.1,,model,,default-seq
104132444,DAG1,dystroglycan 1,Egretta garzetta,little egret,XM_035901502.1,XP_035757395.1,,model,,default-seq
104147846,DAG1,dystroglycan 1,Struthio camelus australis,,XM_009680728.1,XP_009679023.1,,model,,default-seq
104167063,DAG1,dystroglycan 1,Cariama cristata,Red-legged seriema,XM_009707187.1,XP_009705489.1,,model,,default-seq
104260562,DAG1,dystroglycan 1,Gavia stellata,red-throated loon,XM_009816321.1,XP_009814623.1,,model,,default-seq
104294718,DAG1,dystroglycan 1,Charadrius vociferus,killdeer,XM_009894361.1,XP_009892663.1,,model,,default-seq
104306648,DAG1,dystroglycan 1,Dryobates pubescens,Downy woodpecker,XM_009907636.2,XP_009905938.2,,model,,default-seq
104322623,DAG1,dystroglycan 1,Haliaeetus albicilla,white-tailed eagle,XM_009925909.1,XP_009924211.1,,model,,default-seq
104339554,DAG1,dystroglycan 1,Opisthocomus hoazin,,XM_009945712.1,XP_009944014.1,,model,,default-seq
104348895,DAG1,dystroglycan 1,Leptosomus discolor,cuckoo roller,XM_009954278.1,XP_009952580.1,,model,,default-seq
104368157,DAG1,dystroglycan 1,Tyto alba,Barn owl,XM_033008665.2,XP_032864556.1,,model,,default-seq
104388098,DAG1,dystroglycan 1,Chaetura pelagica,chimney swift,XM_009996920.1,XP_009995222.1,,model,,default-seq
104402450,DAG1,dystroglycan 1,Nestor notabilis,Kea,XM_010010334.1,XP_010008636.1,,model,,default-seq
104462376,DAG1,dystroglycan 1,Pterocles gutturalis,yellow-throated sandgrouse,XM_010074292.1,XP_010072594.1,,model,,default-seq
104492093,DAG1,dystroglycan 1,Buceros rhinoceros silvestris,,XM_010134600.1,XP_010132902.1,,model,,default-seq
104517473,DAG1,dystroglycan 1,Antrostomus carolinensis,chuck-will's-widow,XM_010171789.2,XP_010170091.2,,model,,default-seq
104548711,DAG1,dystroglycan 1,Mesitornis unicolor,brown roatelo,XM_010194806.1,XP_010193108.1,,model,,default-seq
104555999,DAG1,dystroglycan 1,Colius striatus,speckled mousebird,XM_010199649.1,XP_010197951.1,,model,,default-seq
104575997,DAG1,dystroglycan 1,Tinamus guttatus,white-throated tinamou,XM_010223347.1,XP_010221649.1,,model,,default-seq
104613611,DAG1,dystroglycan 1,Phaethon lepturus,White-tailed tropicbird,XM_010290007.1,XP_010288309.1,,model,,default-seq
104629711,DAG1,dystroglycan 1,Balearica regulorum gibbericeps,East African grey crowned-crane,XM_010298407.1,XP_010296709.1,,model,,default-seq
104667323,DAG1,dystroglycan 1,Rhinopithecus roxellana,golden snub-nosed monkey,XM_010369681.2,XP_010367983.1,,model,,default-seq
104683200,DAG1,dystroglycan 1,Corvus cornix cornix,,XM_010389911.4,XP_010388213.2,,model,,default-seq
104828100,DAG1,dystroglycan 1,Haliaeetus leucocephalus,bald eagle,XM_010561550.1,XP_010559852.1,,model,,default-seq
104856246,Dag1,dystroglycan 1,Fukomys damarensis,Damara mole-rat,XM_010615562.2,XP_010613864.1,,model,,default-seq
104937743,dag1,dystroglycan 1,Larimichthys crocea,large yellow croaker,XM_019255326.2,XP_019110871.2,,model,,default-seq
104997204,DAG1,dystroglycan 1,Bison bison bison,,XM_010851856.1,XP_010850158.1,,model,,default-seq
105027179,dag1,dystroglycan 1,Esox lucius,northern pike,XM_010899140.5,XP_010897442.4,,model,,default-seq
105080256,DAG1,dystroglycan 1,Camelus bactrianus,Bactrian camel,XM_010969178.2,XP_010967480.1,,model,,default-seq
105087695,DAG1,dystroglycan 1,Camelus dromedarius,Arabian camel,XM_031470319.1,XP_031326179.1,,model,,default-seq
105302390,DAG1,dystroglycan 1,Pteropus vampyrus,large flying fox,XM_011375425.2,XP_011373727.1,,model,,default-seq
105480444,DAG1,dystroglycan 1,Macaca nemestrina,pig-tailed macaque,XM_011739327.1,XP_011737629.1,,model,,default-seq
105509700,DAG1,dystroglycan 1,Colobus angolensis palliatus,,XM_011939079.1,XP_011794469.1,,model,,default-seq
105540344,DAG1,dystroglycan 1,Mandrillus leucophaeus,drill,XM_011980898.1,XP_011836288.1,,model,,default-seq
105573695,DAG1,dystroglycan 1,Cercocebus atys,sooty mangabey,XM_012033701.1,XP_011889091.1,,model,,default-seq
105727696,DAG1,dystroglycan 1,Aotus nancymaae,Ma's night monkey,XM_012467731.2,XP_012323154.1,,model,,default-seq
105805137,DAG1,dystroglycan 1,Propithecus coquereli,Coquerel's sifaka,XM_012637960.1,XP_012493414.1,,model,,default-seq
105874967,DAG1,dystroglycan 1,Microcebus murinus,gray mouse lemur,XM_012771284.1,XP_012626738.1,,model,,default-seq
105908864,dag1,dystroglycan 1,Clupea harengus,Atlantic herring,XM_012837425.3,XP_012692879.2,,model,,default-seq
105917040,dag1,dystroglycan 1,Fundulus heteroclitus,mummichog,XM_012851715.3,XP_012707169.2,,model,,default-seq
105994595,Dag1,dystroglycan 1,Dipodomys ordii,Ord's kangaroo rat,XM_013028193.1,XP_012883647.1,,model,,default-seq
106048756,DAG1,dystroglycan 1,Anser cygnoides,Swan goose,XM_013200851.2,XP_013056305.2,,model,,default-seq
106492183,DAG1,dystroglycan 1,Apteryx mantelli mantelli,,XM_013951974.1,XP_013807428.1,,model,,default-seq
106510973,dag1,dystroglycan 1,Austrofundulus limnaeus,,XM_013999710.1,XP_013855164.1,,model,,default-seq
106539361,DAG1,dystroglycan 1,Thamnophis sirtalis,,XM_014054145.1,XP_013909620.1,,model,,default-seq
106583754,dag1,dystroglycan 1,Salmo salar,Atlantic salmon,XM_014168312.2,XP_014023787.1,,model,,default-seq
106830692,DAG1,dystroglycan 1,Equus asinus,ass,XM_014840425.2,XP_014695911.1,,model,,default-seq
106849245,DAG1,dystroglycan 1,Sturnus vulgaris,Common starling,XM_014869719.1,XP_014725205.1,,model,,default-seq
106894699,DAG1,dystroglycan 1,Calidris pugnax,ruff,XM_014953533.1,XP_014809019.1,,model,,default-seq
106929752,dag1,dystroglycan 1,Poecilia mexicana,,XM_015006866.1,XP_014862352.1,,model,,default-seq
106936785,dag1,dystroglycan 1,Poecilia latipinna,sailfin molly,XM_015017988.1,XP_014873474.1,,model,,default-seq
106979243,DAG1,dystroglycan 1,Acinonyx jubatus,cheetah,XM_027038722.2,XP_026894523.1,,model,,default-seq
107107157,DAG1,dystroglycan 1,Gekko japonicus,,XM_015407410.1,XP_015262896.1,,model,,default-seq
107143480,Dag1,dystroglycan 1,Marmota marmota marmota,Alpine marmot,XM_015487194.2,XP_015342680.1,,model,,default-seq
107210427,DAG1,dystroglycan 1,Parus major,Great Tit,XM_015641223.3,XP_015496709.1,,model,,default-seq
107289185,DAG1,dystroglycan 1,Protobothrops mucrosquamatus,,XM_015817889.1,XP_015673375.1,,model,,default-seq
107319593,DAG1,dystroglycan 1,Coturnix japonica,Japanese quail,XM_015874565.2,XP_015730051.1,,model,,default-seq
107384839,dag1,dystroglycan 1,Nothobranchius furzeri,turquoise killifish,XM_015958309.2,XP_015813795.2,,model,,default-seq
107513352,DAG1,dystroglycan 1,Rousettus aegyptiacus,Egyptian rousette,XM_036218703.1,XP_036074596.1,,model,,default-seq
107529453,DAG1,dystroglycan 1,Miniopterus natalensis,,XM_016202871.1,XP_016058357.1,,model,,default-seq
108229015,dag1,dystroglycan 1,Kryptolebias marmoratus,mangrove rivulus,XM_037975065.1,XP_037830993.1,,model,,default-seq
108255076,dag1,dystroglycan 1,Ictalurus punctatus,channel catfish,XM_017450728.3,XP_017306217.1,,model,,default-seq
108286560,DAG1,dystroglycan 1,Cebus imitator,Panamanian white-faced capuchin,XM_017504507.2,XP_017359996.1,,model,,default-seq
108393347,DAG1,dystroglycan 1,Manis javanica,Malayan pangolin,XM_017654096.2,XP_017509585.2,,model,,default-seq
108415278,dag1,dystroglycan 1,Pygocentrus nattereri,red-bellied piranha,XM_037532342.1,XP_037388239.1,,model,,default-seq
108499774,DAG1,dystroglycan 1,Lepidothrix coronata,blue-crowned manakin,XM_017819962.1,XP_017675451.1,,model,,default-seq
108526986,DAG1,dystroglycan 1,Rhinopithecus bieti,black snub-nosed monkey,XM_017868076.1,XP_017723565.1,,model,,default-seq
108803084,DAG1,dystroglycan 1,Nanorana parkeri,,XM_018574924.1,XP_018430426.1,,model,,default-seq
108894863,dag1,dystroglycan 1,Lates calcarifer,barramundi perch,XM_018693484.2,XP_018549000.1,,model,,default-seq
108931370,dag1,dystroglycan 1,Scleropages formosus,Asian bonytongue,XM_018747118.2,XP_018602634.1,,model,,default-seq
109247807,DAG1,dystroglycan 1,Panthera pardus,leopard,XM_019416821.2,XP_019272366.2,,model,,default-seq
109289183,DAG1,dystroglycan 1,Gavialis gangeticus,Gharial,XM_019505147.1,XP_019360692.1,,model,,default-seq
109318324,DAG1,dystroglycan 1,Crocodylus porosus,Australian saltwater crocodile,XM_019547514.1,XP_019403059.1,,model,,default-seq
109376050,DAG1,dystroglycan 1,Hipposideros armiger,great roundleaf bat,XM_019631716.1,XP_019487261.1,,model,,default-seq
109522278,dag1,dystroglycan 1,Hippocampus comes,tiger tail seahorse,XM_019880686.1,XP_019736245.1,,model,,default-seq
109576023,DAG1,dystroglycan 1,Bos indicus,zebu cattle,XM_019984311.1,XP_019839870.1,,model,,default-seq
109692703,Dag1,dystroglycan 1,Castor canadensis,American beaver,XM_020173494.1,XP_020029083.1,,model,,default-seq
109883770,dag1,dystroglycan 1,Oncorhynchus kisutch,coho salmon,XM_020475802.2,XP_020331391.1,,model,,default-seq
109912070,dag1,dystroglycan 1,Rhincodon typus,whale shark,XM_048593769.1,XP_048449726.1,,model,,default-seq
109966907,dag1,dystroglycan 1,Monopterus albus,swamp eel,XM_020612136.1,XP_020467792.1,,model,,default-seq
110077092,DAG1,dystroglycan 1,Pogona vitticeps,central bearded dragon,XM_020789828.1,XP_020645487.1,,model,,default-seq
110152366,DAG1,dystroglycan 1,Odocoileus virginianus,white-tailed deer,XM_020916085.1,XP_020771744.1,,model,,default-seq
110171127,dag1,dystroglycan 1,Boleophthalmus pectinirostris,great blue-spotted mudskipper,XM_055160829.1,XP_055016804.1,,model,,default-seq
110216898,DAG1,dystroglycan 1,Phascolarctos cinereus,koala,XM_020998943.1,XP_020854602.1,,model,,default-seq
110301140,Dag1,dystroglycan 1,Mus caroli,Ryukyu mouse,XM_021171403.2,XP_021027062.1,,model,,default-seq
110327199,Dag1,dystroglycan 1,Mus pahari,shrew mouse,XM_021205967.2,XP_021061626.1,,model,,default-seq
110405048,DAG1,dystroglycan 1,Numida meleagris,helmeted guineafowl,XM_021409945.1,XP_021265620.1,,model,,default-seq
110469931,DAG1,dystroglycan 1,Lonchura striata domestica,Bengalese finch,XM_021529173.1,XP_021384848.1,,model,,default-seq
110528624,dag1,dystroglycan 1,Oncorhynchus mykiss,rainbow trout,XM_021610760.2,XP_021466435.2,,model,,default-seq
110565056,Dag1,dystroglycan 1,Meriones unguiculatus,Mongolian gerbil,XM_021662644.1,XP_021518319.1,,model,,default-seq
110577550,DAG1,dystroglycan 1,Neomonachus schauinslandi,Hawaiian monk seal,XM_021686895.1,XP_021542570.1,,model,,default-seq
110959291,dag1,dystroglycan 1,Acanthochromis polyacanthus,spiny chromis,XM_022206100.2,XP_022061792.1,,model,,default-seq
111144250,DAG1,dystroglycan 1,Enhydra lutris kenyoni,,XM_022498468.1,XP_022354176.1,,model,,default-seq
111174393,DAG1,dystroglycan 1,Delphinapterus leucas,beluga whale,XM_022573135.1,XP_022428843.1,,model,,default-seq
111219465,dag1,dystroglycan 1,Seriola dumerili,greater amberjack,XM_022742151.1,XP_022597872.1,,model,,default-seq
111555438,DAG1,dystroglycan 1,Piliocolobus tephrosceles,Ugandan red Colobus,XM_023231510.2,XP_023087278.1,,model,,default-seq
111581104,dag1,dystroglycan 1,Amphiprion ocellaris,clown anemonefish,XM_035956739.2,XP_035812632.1,,model,,default-seq
111645430,dag1,dystroglycan 1,Seriola lalandi dorsalis,,XM_023394646.1,XP_023250414.1,,model,,default-seq
111843608,dag1,dystroglycan 1,Paramormyrops kingsleyae,,XM_023811299.1,XP_023667067.1,,model,,default-seq
111935204,DAG1,dystroglycan 1,Cyanistes caeruleus,blue tit,XM_023935559.1,XP_023791327.1,,model,,default-seq
112069585,dag1,dystroglycan 1,Salvelinus alpinus,Arctic char,XM_024136925.1,XP_023992693.1,,model,,default-seq
112102402,DAG1,dystroglycan 1,Terrapene carolina triunguis,Three-toed box turtle,XM_026657046.1,XP_026512831.1,,model,,default-seq
